tc_id,technique,case_kind,auth_token,cart_setup,shipping_address,shipping_address_raw,total_amount,total_amount_raw,extra_field,content_type,body_raw_override,expected_status,expected_status_note,expected_side_effect_note,tc_ref,trace,endpoint_override
TC-12,EP,contract,MALFORMED,userA:nonempty,"123 Le Loi, TP.HCM",,REAL_CART_TOTAL,,,application/json,,,UNSPECIFIED rejected exact code not documented,no order created; cart unchanged,,EC-14 (cross-ref); `api_specification.md` line 131; `srs.md` FR-08 line 104; composite with SEC-C-02,
TC-13,EP,characterization,valid_userA,userA:nonempty,,,,OMIT_KEY,,application/json,,,UNSPECIFIED combination case,"record status and body; record whether the body exposes more field-level detail than TC-02 and TC-08 did — an observation, not a documented requirement",,"EC-02, EC-09 (combination, cross-ref); `api_specification.md` 4.3 lines 156-161",
TC-14,BVA,characterization,valid_userA,userA:0_items — freshly registered account that has never called POST /api/cart (or immediately post-checkout); emptiness confirmed via GET /api/cart before the action,"123 Le Loi, TP.HCM",,0,,,application/json,,,UNSPECIFIED empty-cart handling not documented,record actual behavior; no source states whether empty-cart checkout is rejected; inspected further in TC-31,,BVA-01 (cross-ref); `api_specification.md` 4.1 line 135 and 4.2 line 139 (the only documented cart endpoints); `srs.md` FR-08 lines 102-108 — silent on empty-cart checkout,
TC-15,BVA,contract,valid_userA,userA:1_item_qty1,"123 Le Loi, TP.HCM",,ITEM_PRICE,,,application/json,,,UNSPECIFIED accepted per FR-08,order created from single line; cart cleared,,BVA-02 (cross-ref); `srs.md` FR-08 lines 104-108,
TC-17,Lifecycle,characterization,valid_userA,userA:post_TC16_emptied,"123 Le Loi, TP.HCM",,0,,,application/json,,,UNSPECIFIED repeat-call behavior not documented,"record actual behavior: rejection, silent no-op, or an empty order; sources are silent on repeat-call behavior",,S-02 (cross-ref); `srs.md` FR-08 lines 102-108 (silent on repeat calls); `api_specification.md` 4.4 line 165,
TC-18,Lifecycle,characterization,valid_userC,userC:never_populated,"123 Le Loi, TP.HCM",,0,,,application/json,,,UNSPECIFIED same class as TC-17,compare against TC-17,,"S-03 (cross-ref); `srs.md` FR-08 lines 102-108 — silent on checkout against a never-populated cart. FR-07 line 100 is deliberately **not** cited: it governs the empty-cart UI display, not API behavior",
TC-19,Lifecycle,characterization,valid_userA,userA:nonempty,"123 Le Loi, TP.HCM",,REAL_CART_TOTAL,,DOUBLE_SUBMIT,application/json,,,UNSPECIFIED idempotency not documented,"count resulting orders; check final cart state; at most one success is an inference from atomic clearing, not an asserted rule",,S-04 (cross-ref); `srs.md` FR-08 lines 102-108 (a single documented transition only),
TC-20,Lifecycle,contract,valid_userA,userA:nonempty + userB:nonempty_separate,"123 Le Loi, TP.HCM",,REAL_CART_TOTAL,,,application/json,,,UNSPECIFIED accepted,"userB cart and orders must be unchanged after userA's call; the order half is required by srs.md FR-11 line 166, the cart half is a characterization observation",,"S-05 (cross-ref); `srs.md` FR-11 line 166 (order isolation, documented); `srs.md` FR-08 line 104 (checkout is bound to the logged-in user)",
TC-21,Security,contract,MISSING,userA:nonempty,"123 Le Loi, TP.HCM",,REAL_CART_TOTAL,,,application/json,,,UNSPECIFIED rejected,"fail-closed; no order created; cart unchanged; also record whether the body exposes internal error detail (an observation, no disclosure rule is stated)",,SEC-C-01 (cross-ref); `api_specification.md` line 131; `srs.md` FR-08 line 104,
TC-22,Security,contract,MALFORMED,userA:nonempty,"123 Le Loi, TP.HCM",,REAL_CART_TOTAL,,,application/json,,,UNSPECIFIED rejected,fail-closed; no order created; cart unchanged,,SEC-C-02 (cross-ref); `api_specification.md` line 131; `srs.md` FR-08 line 104,
TC-23,Security,contract,FORGED_BAD_SIG,userA:nonempty,"123 Le Loi, TP.HCM",,REAL_CART_TOTAL,,,application/json,,,UNSPECIFIED rejected,fail-closed; no order created; cart unchanged,,SEC-C-03 (cross-ref); `api_specification.md` line 131; `srs.md` FR-08 line 104,
TC-24,Security,contract,EXPIRED,"userA:nonempty — token expiry is not reachable through any documented endpoint; execute only if a token lifetime is confirmed out-of-band and record it, otherwise mark blocked as a specification gap","123 Le Loi, TP.HCM",,REAL_CART_TOTAL,,,application/json,,,UNSPECIFIED rejected; do not substitute a forged token (that is TC-23's class),fail-closed; no order created; cart unchanged,,SEC-C-04 (cross-ref); `api_specification.md` line 131; `srs.md` FR-08 line 104; token lifetime undocumented,
TC-25,Security,contract,valid_userA,userA:nonempty + userB:nonempty_separate (different item sets); userB id obtained via GET /api/users/me while authenticated as userB,"123 Le Loi, TP.HCM",,REAL_CART_TOTAL,,INJECT_USER_ID_B,application/json,,,UNSPECIFIED accepted for A only,owner derived from the JWT only; injected user_id ignored; resulting order reflects only userA's cart; userB cart and orders unchanged,,SEC-C-05 (cross-ref); `srs.md` FR-08 line 104 (checkout is bound to the logged-in user); `api_specification.md` 4.3 lines 151-161 (no cart or user identifier is a documented parameter),
TC-26,Security,contract,valid_userA,userA:nonempty_known_total_500000,"123 Le Loi, TP.HCM",,1,,,application/json,,,UNSPECIFIED accepted per FR-08 recompute rule,"recorded/charged total (response, GET /api/orders/my-orders, or GET /api/orders/:id) must equal the real cart total, never 1",,SEC-C-06 (cross-ref); `srs.md` FR-08 line 107; composite with EC-08 (TC-07) and SC-04 (TC-30),
TC-27,Security,contract,valid_userA,userA:nonempty,' OR '1'='1,,REAL_CART_TOTAL,,,application/json,,,UNSPECIFIED,payload treated as an inert literal string; no raw SQL error surfaced; no unauthorized data returned or altered,,SEC-C-07 (cross-ref); `srs.md` line 282 (SEC-05),
TC-28,Security,contract,valid_userA,userA:nonempty,123 Le Loi'; --,,REAL_CART_TOTAL,,,application/json,,,UNSPECIFIED,no raw SQL error; no data leak/alteration,,SEC-C-08 (cross-ref); `srs.md` line 282 (SEC-05),
TC-30,Schema,contract,,,,,,,,,,,,inspect TC-07/TC-26 resulting order total,"TC-07,TC-26",SC-04 (cross-ref); `srs.md` FR-08 line 107,
TC-32,Schema,contract,,,,,,,,,,,,inspect TC-11/TC-21 response + confirm no order created,"TC-11,TC-21",SC-09 (cross-ref); `api_specification.md` line 131; `srs.md` FR-08 line 104 (only a logged-in user may check out — an order created here would contradict it); `srs.md` FR-08 line 108 (clearing documented for success only),
TC-35,Schema,characterization,,,,,,,,,,,,compare TC-02 vs TC-14 error body key sets,"TC-02,TC-14",SC-12 (cross-ref); `api_specification.md` 4.3 lines 151-161 (no response documented anywhere for this endpoint),
TC-36a,Security (EP),contract,NO_SCHEME,userA:nonempty,"123 Le Loi, TP.HCM",,REAL_CART_TOTAL,,,application/json,,,"UNSPECIFIED exact status and body; same class as TC-12/TC-22; fail-closed rejection expected consistent with SEC-02, no documented code",no order created; cart unchanged,,"P-14 (EC-14 ""wrong-scheme value"" sub-variant, cross-ref); `api_specification.md` line 131; `srs.md` FR-08 line 104",
TC-36b,Security (EP),contract,WRONG_SCHEME_BASIC,userA:nonempty,"123 Le Loi, TP.HCM",,REAL_CART_TOTAL,,,application/json,,,"UNSPECIFIED exact status and body; same class as TC-12/TC-22; fail-closed rejection expected consistent with SEC-02, no documented code",no order created; cart unchanged,,"P-14 (EC-14 ""wrong-scheme value"" sub-variant, cross-ref); `api_specification.md` line 131; `srs.md` FR-08 line 104",
TC-40,Schema,contract,,,,,,,,,,,,"if TC-09's -1 or 0 sub-case created an order, its recorded total must equal the real cart total, never the submitted -1 or 0",TC-09,"`srs.md` FR-08 line 107 (recompute rule, unconditional on the submitted value's class); same basis as TC-30",
TC-43,EP (FR-09 condition C2),contract,valid_userA,"userA:cart total at or above 100000 (EXPIRED threshold, srs.md line 135); execution date after 2020-01-01",,,,,,application/json,"{""code"":""EXPIRED"",""total_amount"":REAL_CART_TOTAL,""user_id"":USER_A_ID}",,"UNSPECIFIED exact rejection status and error message — record them, do not assert","coupon must not be applied and discount_amount must not be greater than 0 (C2, srs.md line 117); if a discount is nonetheless returned, follow with POST /api/checkout and confirm the order total does not include it",,"`srs.md` FR-09 line 112, C2 line 117, sample-coupon table line 135; `api_specification.md` 5.1 lines 182-192",POST {{baseUrl}}/api/apply-coupon
TC-47a,Security (cross-endpoint),contract,valid_userA,userA:fresh account with an empty cart; the real catalog price of product id 1 retrieved via GET /api/products/:id (3.2 line 101) and recorded,,,,,,application/json,"{""id"":1,""name"":""Sản phẩm A"",""price"":1,""quantity"":1}",,UNSPECIFIED exact code; price is a client-supplied body field per api_specification.md 4.2 lines 139-149,"cart line accepted with the injected price 1, far below the recorded catalog price",,`api_specification.md` 4.2 lines 139-149 (`price` is a client-supplied field); 3.2 line 101; `srs.md` FR-08 line 105 and line 107,POST {{baseUrl}}/api/cart
TC-47b,Security (cross-endpoint),characterization,valid_userA,userA:cart from TC-47a unchanged,"123 Le Loi, TP.HCM",,REAL_CART_TOTAL,,,application/json,,,UNSPECIFIED which price source is authoritative,"record the resulting order total and compare it against both the recorded catalog price and the injected price 1; if the total reflects the injected price, report that as a finding against the specification, not as a violation of a documented rule",TC-47a,`api_specification.md` 4.2 lines 139-149 (`price` is a client-supplied field); 3.2 line 101; `srs.md` FR-08 line 105 and line 107,
